y;Velocity
0.19676;0.81224
0.59028;0.81876
0.98380;0.82080
1.37732;0.81836
1.77084;0.81950
2.16436;0.82394
2.55788;0.82601
2.95140;0.83053
3.34492;0.82250
3.73844;0.83085
4.13196;0.81499
4.52548;0.82085
4.91900;0.81659
5.31252;0.81739
5.70604;0.81208
6.09956;0.81366
6.49308;0.81666
6.88660;0.81093
7.28012;0.81697
7.67364;0.80280
8.06716;0.81470
8.46068;0.80606
8.85420;0.81099
9.24772;0.82956
9.64124;0.80574
10.03476;0.82138
10.42828;0.82127
10.82180;0.81686
11.21532;0.81575
11.60884;0.81179
12.00236;0.80412
12.39588;0.80163
12.78940;0.80493
13.18292;0.80778
13.57644;0.82564
13.96996;0.81481
14.36348;0.82711
14.75700;0.81925
15.15052;0.80872
15.54404;0.82143
15.93756;0.83438
16.33108;0.83343
16.72460;0.83322
17.11812;0.83706
17.51164;0.82753
17.90516;0.82894
18.29868;0.83057
18.69220;0.82280
19.08572;0.82810
19.47924;0.84254
19.87276;0.82921
20.26628;0.82747
20.65980;0.83660
21.05332;0.83227
21.44684;0.82537
21.84036;0.83086
22.23388;0.83580
22.62740;0.84148
23.02092;0.83848
23.41444;0.85868
23.80796;0.84667
24.20148;0.84002
24.59500;0.82504
24.98852;0.82860
25.38204;0.83298
25.77556;0.81673
26.16908;0.82738
26.56260;0.83563
26.95612;0.84090
27.34964;0.82446
27.74316;0.82530
28.13668;0.82610
28.53020;0.81916
28.92372;0.82276
29.31724;0.81535
29.71076;0.83301
30.10428;0.82219
30.49780;0.82562
30.89132;0.82851
31.28484;0.81040
31.67836;0.81228
32.07188;0.81556
32.46540;0.81239
32.85892;0.81161
33.25244;0.80531
33.64596;0.80892
34.03948;0.81792
34.43300;0.83127
34.82652;0.81858
35.22004;0.81167
35.61356;0.81451
36.00708;0.81192
36.40060;0.81415
36.79412;0.82548
37.18764;0.81464
37.58116;0.81723
37.97468;0.81318
38.36820;0.81822
38.76172;0.81376
39.15524;0.82199
