z;Velocity
0.47040;0.93346
1.41119;0.88134
2.35198;0.89164
3.29277;0.89256
4.23357;0.91571
5.17436;0.91095
6.11515;0.91575
7.05594;0.89686
7.99674;0.90671
8.93753;0.89030
9.87832;0.87100
10.81911;0.89348
11.75991;0.84670
12.70070;0.89995
13.64149;0.91817
14.58229;0.94337
15.52308;0.91268
16.46387;0.88988
17.40466;0.79717
18.34546;0.84983
19.28625;0.83925
20.22704;0.84641
21.16783;0.80299
22.10863;0.85960
23.04942;0.80996
23.99021;0.82456
24.93100;0.77881
25.87180;0.71147
26.81259;0.79863
27.75338;0.82188
28.69417;0.80770
29.63497;0.81034
30.57576;0.81094
31.51655;0.82465
32.45734;0.83545
33.39814;0.84677
34.33893;0.84228
35.27972;0.82540
36.22051;0.82627
37.16131;0.83340
38.10210;0.83539
39.04289;0.84021
39.98368;0.83682
40.92448;0.84011
41.86527;0.83183
42.80606;0.83999
43.74686;0.83987
44.68765;0.84346
45.62844;0.83257
46.56923;0.83383
47.51003;0.83715
48.45082;0.82756
49.39161;0.82969
50.33240;0.83629
51.27320;0.83205
52.21399;0.83152
53.15478;0.83294
54.09557;0.82810
55.03637;0.82206
55.97716;0.82525
56.91795;0.82547
57.85874;0.83261
58.79954;0.84290
59.74033;0.83737
60.68112;0.81922
61.62191;0.80767
62.56271;0.79795
63.50350;0.79270
64.44429;0.80679
65.38508;0.79216
66.32588;0.71327
67.26667;0.80926
68.20746;0.87401
69.14825;0.84942
70.08905;0.85659
71.02984;0.82798
71.97063;0.81233
72.91143;0.82368
73.85222;0.87773
74.79301;0.82175
75.73380;0.84396
76.67460;0.81319
77.61539;0.85944
78.55618;0.85957
79.49697;0.87454
80.43777;0.86210
81.37856;0.89904
82.31935;0.87537
83.26014;0.86311
84.20094;0.91985
85.14173;0.97821
86.08252;0.90082
87.02331;0.90427
87.96411;0.93494
88.90490;0.93703
89.84569;0.87514
90.78648;0.95434
91.72728;0.92146
92.66807;0.90980
93.60886;0.90442
